sample,sample,,,Na2O,K2O,FeO,MgO,Al2O3,SiO2,P2O5,CaO,TiO2,MnO,pressure,temperature,ferric,ferric_corr,
RIN1307A3_mi01_14_mi16,RIN1307A3_mi01_14_mi16,,,4.465943061,4.135154203,3.733096324,1.022837852,16.08425391,65.98665101,0.607858575,2.646870119,1.106917486,0.210417459,120,950,45.52549565,38.82864193,0.172472005
RIN1307A3_mi01_7_mi8,RIN1307A3_mi01_37_mi44,,,4.544980995,4.220511046,1.966775216,0.638464803,15.6331725,70.59110484,0.118946723,1.828212817,0.3150434,0.142787666,120,950,37.494473,24.78331018,0.512892052
RIN1307A3_mi01_12_mi14,RIN1307A3_mi01_16_mi19,,,4.7282055,4.191561763,1.879259043,0.543917876,16.03024881,70.01456659,0.102581781,1.932109923,0.439335963,0.138212753,120,950,35.20667415,21.90355871,0.607349501
RIN1307A3_mi01_37_mi44,RIN1307A3_mi01_16_mi20,,,4.501869274,4.155980612,2.427821022,0.634785031,15.70316082,69.78239853,0.14214576,2.006744323,0.5179205,0.127174126,120,950,35.94256484,25.64526542,0.401528284
RIN1307A3_mi01_16_mi19,RIN1307A3_mi01_21_mi25,,,4.548652751,4.190672593,3.78889581,1.030553337,16.10172594,66.20325269,0.555145312,2.426632826,0.995071923,0.159396825,120,950,36.76907459,30.17084617,0.218695504
RIN1307A3_mi01_16_mi20,RIN1307A3_mi01_26_mi32,,,4.709690319,4.041744096,3.900688865,0.977288779,16.1799877,66.14040438,0.526125377,2.426315309,0.925225932,0.172529245,120,950,43.34744311,36.93831876,0.173508827
RIN1307A3_mi01_21_mi25,RIN1307A3_mi01_10_mi11,,,4.439919524,3.994521514,3.63000032,1.097937565,16.16644773,66.57907331,0.506535399,2.49233695,0.900440755,0.192786931,120,950,46.62779348,39.74074175,0.173299527
RIN1307A3_mi01_26_mi32,RIN1307A3_mi01_16_mi18,,,4.581594042,3.821151396,3.337180837,0.942609691,16.21941373,67.58961193,0.285554359,2.488180344,0.548196671,0.186506997,120,950,37.50184244,30.01048934,0.24962449
RIN1307A3_mi01_5_mi5,RIN1307A3_mi01_19_mi23,,,4.686658754,4.266325235,2.585370299,0.721263777,15.73935859,69.17838958,0.149120817,1.991784591,0.56122743,0.120500929,120,950,38.59771797,28.92792328,0.334271997
RIN1307A3_mi01_5_mi7,RIN1307A3_mi01_21_mi24,,,4.724305576,4.285997346,2.970859135,0.79389669,15.84886518,68.22254235,0.1766262,2.134012771,0.743656607,0.099238143,120,950,37.1032754,28.68820122,0.293328749
RIN1307A3_mi01_10_mi11,RIN1307A3_mi01_25_mi28,,,4.529666933,4.117607908,3.208850082,0.890331004,16.44698361,67.62304021,0.160917727,2.308638876,0.571014878,0.142948778,120,950,35.89522405,28.1042711,0.277215976
RIN1307A3_mi01_16_mi18,RIN1307A3_mi01_25_mi29,,,4.625157846,3.996217149,3.829278943,1.030420159,16.19501169,66.05928232,0.475980573,2.535882303,1.033155739,0.219613277,120,950,52.05106158,45.52241732,0.143416028
RIN1307A3_mi01_19_mi23,RIN1307A3_mi01_25_mi30,,,4.397933586,4.036857671,3.980331924,1.017093125,16.17388164,66.39055628,0.373229616,2.597478624,0.896544338,0.136093187,120,950,41.22048581,34.93960259,0.179764014
RIN1307A3_mi01_21_mi24,RIN1307A3_mi01_7_mi8,,,4.90101284,4.220299316,3.357291484,0.888564911,15.92901542,67.80266855,0.159530973,2.093874301,0.427009701,0.220732501,120,950,39.7767987,32.33031986,0.230324936
RIN1307A3_mi01_25_mi28,RIN1307A3_mi01_12_mi14,,,4.711565327,4.154885125,3.099443142,0.880691476,16.39113014,67.32030219,0.277411687,2.341796824,0.656277514,0.166496569,120,950,25.58202005,17.51605502,0.46048982
RIN1307A3_mi01_25_mi29,RIN1307A3_mi01_5_mi5,,,4.531686495,4.102220359,3.054958619,0.807564829,16.193646,68.57805169,0.164130238,2.069876898,0.413142377,0.084722499,120,950,34.9071126,26.7236957,0.306223248
RIN1307A3_mi01_25_mi30,RIN1307A3_mi01_5_mi7,,,4.266963889,4.098899209,3.07288931,0.725602759,16.23248752,68.85480488,0.174465096,2.050709118,0.412189089,0.110989132,120,950,31.36224901,23.22658336,0.350273888
RIN1307A3_mi01_37_mi45,RIN1307A3_mi01_37_mi45,,,4.746584395,4.092672674,2.504805491,0.778445847,16.22126197,68.51362456,0.152198136,2.158339544,0.709654971,0.122412417,120,950,51.22130717,41.24049226,0.242014932
RIN1307A3_mi01_17_mi21,RIN1307A3_mi01_17_mi21,,,4.628661937,4.2912083,2.375196179,0.623336787,15.91117741,69.61468025,0.152012323,1.866030769,0.414319324,0.123376718,120,950,39.76087771,29.23543134,0.360023639
RIN1307A3_mi01_18_mi22,RIN1307A3_mi01_18_mi22,,,4.505889117,4.086455972,2.464012058,0.723119348,16.0426146,69.25306984,0.146284614,2.154797399,0.500829633,0.122927414,120,950,27.63291262,17.48685838,0.580210237
Rin1307A3_mi01_28_gl1,Rin1307A3_mi01_28_gl1,,,5.048613,4.338447,2.839384,0.774447,15.53438,67.29189,0.141144,2.114987,0.44084,0.098554,120,950,29.4689577,20.66423104,
25_average,25_average,,,4.30183575,4.13992125,2.5843155,0.702912,15.607095,69.28758,0.115158,1.9827435,0.48050525,0.12397725,120,950,30.77548226,21.1017408,
all_average,all_average,,,4.458810889,4.177323222,2.686724556,0.737079111,15.39221296,69.89538963,0.131794889,1.960759741,0.491780222,0.125080519,120,950,31.71002565,22.40501523,
